54°46.410	11°30.096
54°46.476	11°30.207
54°26.368	11°11.824
54°26.345	11°11.807
54°26.337	11°11.818
54°26.328	11°11.838
54°26.321	11°11.852
54°26.311	11°11.858
54°26.295	11°11.860
54°26.272	11°11.865
54°26.258	11°11.865
54°26.246	11°11.875
54°26.246	11°11.854
54°26.235	11°11.849
54°26.222	11°11.847
54°26.210	11°11.838
54°26.207	11°11.881
54°26.202	11°11.895
54°26.198	11°11.827
54°26.191	11°11.815
54°26.180	11°11.821
54°26.168	11°11.826
54°26.172	11°11.811
54°26.176	11°11.780
54°25.373	11°11.491
54°25.362	11°11.488
54°25.360	11°11.460
54°25.353	11°11.436
54°25.336	11°11.479
54°25.314	11°11.485
54°25.302	11°11.473
54°25.291	11°11.464
54°25.230	11°11.441
54°25.230	11°11.463
54°25.222	11°11.523
54°25.204	11°11.526
54°25.195	11°11.530
54°25.187	11°11.555
54°25.203	11°11.576
54°25.238	11°11.572
54°25.245	11°11.540
54°25.256	11°11.542
54°25.279	11°11.522
54°25.290	11°11.520
54°25.307	11°11.511
54°28.702	11°00.821
54°28.721	11°00.721 
54°18.425	10°47.578
54°18.807	10°47.448
54°18.742	10°47.522
54°18.688	10°47.744
54°18.716	10°47.877
54°18.682	10°48.015 
54°18.674	10°47.940
54°18.676	10°47.835
54°18.663	10°48.001
54°18.657	10°47.924
54°18.636	10°47.797
54°18.674	10°47.652
54°18.631	10°47.673
54°18.625	10°47.823
54°18.594	10°47.831
54°18.575	10°47.906
54°18.605	10°47.986
54°18.607	10°48.062
54°18.602	10°48.083
54°18.607	10°48.128
54°18.603	10°47.698
54°18.573	10°47.663
54°18.563	10°47.632
54°18.553	10°47.601
54°18.548	10°47.578
54°18.519	10°47.604
54°18.529	10°47.694
54°18.491	10°47.560
54°18.448	10°47.584
54°18.425	10°47.578
54°17.507	10°53.213
54°17.513	10°53.225
54°17.528	10°53.280
54°17.471	10°53.152
54°17.452	10°53.292
54°17.451	10°53.322
54°17.472	10°53.403
54°17.465	10°53.457
54°17.506	10°53.449
54°17.515	10°53.447
54°17.540	10°53.463
54°17.453	10°53.498
54°17.443	10°53.490
         	
